input1;Input2;Input3;Output1;Output2;Output3;Output4;Output5
99.77430725;50.28211975;135.0043335;114.2111511;129.8900452;81.53935242;93.98871613;11.7
100.1490173;49.95804214;135.0043335;116.1255798;129.9623871;81.51041412;94.01041412;11.7
100.0477448;50.32262802;134.9826355;114.5261841;129.9623871;81.43084717;93.93084717;11.7
100.098381;50.2010994;134.9537048;119.5424652;129.9406891;81.51041412;93.98871613;11.7
99.92621613;49.8770256;134.9826355;115.325882;129.9334564;81.48148346;93.95977783;11.7
99.88570404;50.65682983;134.9609375;115.301651;129.9117432;81.48871613;93.88021088;11.7
99.92621613;50.50491714;134.9826355;117.6280365;129.9623871;81.43084717;93.93084717;11.7
100.0173645;50.4239006;134.9971008;115.2289505;129.9406891;81.48871613;93.90914154;11.7
100.2300339;50.07957077;135.0115814;113.5810928;129.9117432;81.51041412;93.93807983;11.7
100.2806702;50.2010994;135.0043335;116.3921432;129.9334564;81.51041412;93.93084717;11.7
100.0477448;49.96817017;135.0332794;117.0706711;129.8828125;81.45977783;93.93807983;11.7
99.88570404;49.8770256;134.9826355;118.5004349;129.9623871;81.51041412;93.95977783;11.7
100.0680008;49.77575302;135.0332794;115.6893845;129.9117432;81.56105042;93.95977783;11.7
100.057869;50.08969879;135.0043335;115.3501129;129.9623871;81.51041412;93.95977783;11.7
100.1895218;49.96817017;134.9826355;117.0222092;129.9623871;81.43084717;93.98148346;11.7
99.8046875;50.13020706;134.9537048;118.306572;129.9840851;81.53211975;93.98148346;11.7
99.97685242;50.16059113;134.9826355;116.6344757;130.0130157;81.56105042;93.98148346;11.7
100.1895218;50.13020706;134.9320068;111.7878342;129.9623871;81.53935242;93.98148346;11.7
99.68315887;50.33275604;134.9537048;109.946106;129.9117432;81.53935242;93.90914154;11.7
99.88570404;50.2010994;134.9537048;115.0593185;129.9334564;81.51041412;93.93084717;11.7
99.8046875;50.14033508;134.9826355;115.3501129;129.9117432;81.53935242;93.95977783;11.7
100.1895218;50.23147964;135.0043335;119.1305008;129.9334564;81.53211975;93.98148346;11.7
100.3211823;50.38339233;135.0332794;114.5746536;129.8828125;81.56105042;93.95977783;11.7
99.88570404;50.2010994;135.0549774;117.7734375;129.9334564;81.53935242;93.98871613;11.7
100.1388855;50.38339233;135.0549774;115.6409149;129.9623871;81.51041412;94.01041412;11.7
99.98697662;50.27199173;135.0332794;115.4955139;129.9840851;81.56105042;93.95977783;11.7
100.1388855;50.44415665;134.9826355;116.1982803;129.9623871;81.61168671;93.98148346;11.7
100.4427109;50.72771835;134.9537048;118.4519653;129.9623871;81.56105042;93.98148346;11.7
100.3211823;50.14033508;135.0043335;113.6053238;129.9623871;81.58998871;93.98148346;11.7
99.88570404;50.07957077;134.9826355;113.9930573;129.9334564;81.55381775;93.98148346;11.7
99.97685242;50.27199173;134.9754028;119.5182266;129.8828125;81.56105042;93.95977783;11.7
99.88570404;50.14033508;135.0043335;114.3080902;129.9117432;81.53935242;93.98148346;11.7
99.97685242;50.50491714;134.9826355;114.5746536;129.9334564;81.58998871;93.93084717;11.7
100.3211823;49.9276619;134.9826355;114.695816;129.9623871;81.53935242;93.95977783;11.7
100.0173645;50.13020706;134.9537048;116.8768082;129.9334564;81.51041412;94.00318146;11.7
99.89583588;49.98842621;135.0043335;112.8056259;129.9334564;81.53935242;93.93084717;11.7
100.1895218;50.27199173;135.0043335;116.8768082;129.9623871;81.51041412;93.93084717;11.7
100.2806702;50.2010994;135.0332794;114.3323212;129.9623871;81.53211975;93.95977783;11.7
99.63252258;49.9276619;135.0332794;115.0350876;129.9551544;81.56105042;93.95977783;11.7
100.4021988;50.2010994;135.0332794;117.846138;129.9623871;81.48871613;93.99594879;11.7
100.098381;50.14033508;135.0043335;116.1982803;129.9334564;81.53935242;94.01041412;11.7
99.76417542;50.10995483;134.9826355;115.2289505;129.9334564;81.53935242;94.01041412;11.7
100.057869;49.97829819;135.0043335;115.7620773;129.8828125;81.43084717;93.98148346;11.7
99.98697662;50.14033508;135.0043335;113.7507248;129.9117432;81.56105042;93.98148346;11.7
99.98697662;50.14033508;135.0043335;119.2516632;129.9406891;81.56105042;94.00318146;11.7
100.3616867;50.46440887;134.9826355;116.1013489;129.9623871;81.51041412;94.01041412;11.7
99.72367096;50.33275604;134.9826355;114.3565521;129.9117432;81.53935242;93.95977783;11.7
100.1895218;50.0390625;134.9826355;113.7991867;129.8828125;81.56105042;93.98871613;11.7
99.5920105;50.29224396;134.9826355;119.8817291;129.9334564;81.53935242;93.98148346;11.7
99.24768829;50.01880646;134.9826355;116.6587067;129.8828125;81.56105042;93.95977783;11.7
99.76417542;50.37326431;135.0043335;114.1142197;129.9117432;81.53935242;93.95977783;11.7
100.1388855;50.44415665;135.0043335;113.6295547;129.9334564;81.58998871;93.98148346;11.7
100.1388855;50.27199173;135.0043335;115.010849;129.9117432;81.56105042;93.98148346;11.7
99.84519958;49.8770256;135.0115814;113.7749557;129.9913177;81.56105042;93.95977783;11.7
99.94647217;50.07957077;135.0332794;113.4114609;129.9840851;81.56105042;93.90914154;11.7
100.1388855;50.38339233;135.0043335;112.2724991;129.9840851;81.56105042;93.95977783;11.7
100.1895218;50.63657379;135.0043335;115.9074783;130.0130157;81.48871613;93.95977783;11.7
100.0680008;50.61631775;135.0043335;114.0415192;130.0130157;81.53935242;93.93084717;11.7
100.057869;50.2010994;135.0043335;116.9252777;129.9840851;81.54658508;93.95977783;11.7
100.1895218;50.50491714;134.9537048;113.7991867;129.9623871;81.51041412;93.98148346;11.7
100.1388855;50.14033508;134.9537048;117.4826355;129.9840851;81.51041412;93.95977783;11.7
100.3110504;50.27199173;134.9826355;113.3629913;129.9334564;81.51041412;93.90914154;11.7
